scale,schema,query,hops,prop_reads,seconds,correct
1000,flat,Q01,8,26,5.212500000006948e-06,True
1000,mid,Q01,17,26,7.327099999998588e-06,True
1000,normalized,Q01,44,35,1.3600000000002499e-05,True
1000,flat,Q02,149,127,3.9939550000001046e-05,True
1000,mid,Q02,405,127,9.257500000000584e-05,True
1000,normalized,Q02,961,277,0.00022433750000000474,True
1000,flat,Q03,131,52,2.1622949999999806e-05,True
1000,mid,Q03,131,52,2.1193749999992573e-05,True
1000,normalized,Q03,271,61,5.42604499999988e-05,True
1000,flat,Q04,131,66,2.9308350000001317e-05,True
1000,mid,Q04,160,81,3.646250000000073e-05,True
1000,normalized,Q04,329,90,8.046250000000032e-05,True
1000,flat,Q05,1000,0,0.0001428021000000057,True
1000,mid,Q05,1000,0,0.0001384957999999936,True
1000,normalized,Q05,2008,49,0.00043648124999999814,True
1000,flat,Q06,1862,1463,0.000485752099999992,True
1000,mid,Q06,3329,2198,0.0008068333499999802,True
1000,normalized,Q06,6809,2348,0.0018766749999999943,True
1000,flat,Q07,26,3,4.183349999986596e-06,True
1000,mid,Q07,26,3,4.1667000000078506e-06,True
1000,normalized,Q07,61,17,1.2718749999995893e-05,True
1000,flat,Q08,16,7,3.758299999989667e-06,True
1000,mid,Q08,16,7,3.7625000000041098e-06,True
1000,normalized,Q08,32,7,8.364599999999278e-06,True
1000,flat,Q09,3574,1712,0.0007297812500000056,True
1000,mid,Q09,3574,1712,0.0007369166499999969,True
1000,normalized,Q09,7299,1862,0.002068645849999995,True
1000,flat,Q10,29,32,1.0918749999988542e-05,True
1000,mid,Q10,44,39,1.3854199999996375e-05,True
1000,normalized,Q10,97,48,2.7308349999999316e-05,True
1000,flat,Q11,8,8,3.0416499999796898e-06,True
1000,mid,Q11,35,26,1.0172899999982831e-05,True
1000,normalized,Q11,80,49,2.3375000000003255e-05,True
1000,flat,Q12,201,140,7.170624999999208e-05,True
1000,mid,Q12,754,506,0.00023423124999999434,True
1000,normalized,Q12,1401,514,0.0004427500000000029,True
1000,flat,Q13,4754,0,0.00041811039999999354,True
1000,mid,Q13,4754,0,0.00042771665000000957,True
1000,normalized,Q13,14262,4754,0.0023041750000000194,True
1000,flat,Q14,143969,36175,0.03261650624999999,True
1000,mid,Q14,143969,36175,0.031182385400000002,True
1000,normalized,Q14,292538,40774,0.08687548125000007,True
1000,flat,Q15,3,1,1.5187500000735098e-06,True
1000,mid,Q15,3,1,1.543750000010391e-06,True
1000,normalized,Q15,5,1,2.1333499999443005e-06,True
1000,flat,Q16,59,22,1.343750000000199e-05,True
1000,mid,Q16,104,22,2.3579149999974903e-05,True
1000,normalized,Q16,209,45,5.552500000014504e-05,True
1000,flat,Q17,2181,1786,0.0006314791500001248,True
1000,mid,Q17,2073,1183,0.0005265500000000145,True
1000,normalized,Q17,4147,1183,0.0011654937499999463,True
1000,flat,Q18,11650,11809,0.0017481333499999251,True
1000,mid,Q18,159,159,4.48000000000448e-05,True
1000,normalized,Q18,318,159,8.607499999992995e-05,True
1000,flat,Q19,1000,1048,0.00014955204999989036,True
1000,mid,Q19,193,144,6.34958499999172e-05,True
1000,normalized,Q19,386,216,0.00012656875000001123,True
1000,flat,Q20,2114,0,0.002043768749999941,True
1000,mid,Q20,2114,0,0.0018381312499998969,True
1000,normalized,Q20,6344,2114,0.002656566649999981,True
3000,flat,Q01,9,29,5.779199999977891e-06,True
3000,mid,Q01,19,29,8.229150000005347e-06,True
3000,normalized,Q01,49,39,1.6870850000039185e-05,True
3000,flat,Q02,175,157,5.110625000011026e-05,True
3000,mid,Q02,490,157,0.00012079795000001781,True
3000,normalized,Q02,1155,332,0.0002802458499999716,True
3000,flat,Q03,144,60,2.612710000011731e-05,True
3000,mid,Q03,144,60,2.5633299999938686e-05,True
3000,normalized,Q03,298,70,6.489789999992723e-05,True
3000,flat,Q04,144,78,3.699375000003613e-05,True
3000,mid,Q04,180,96,4.5400000000128673e-05,True
3000,normalized,Q04,369,106,9.975834999984557e-05,True
3000,flat,Q05,1183,0,0.0001752583500000071,True
3000,mid,Q05,1183,0,0.00017671874999987126,True
3000,normalized,Q05,2375,56,0.0005694166499999653,True
3000,flat,Q06,2471,2088,0.0006471146000000871,True
3000,mid,Q06,4559,3132,0.0012361957999999617,True
3000,normalized,Q06,9293,3307,0.003321254150000108,True
3000,flat,Q07,28,3,4.83540000004723e-06,True
3000,mid,Q07,28,3,4.956249999921169e-06,True
3000,normalized,Q07,64,19,1.4462499999901013e-05,True
3000,flat,Q08,16,8,4.104199999943603e-06,True
3000,mid,Q08,16,8,4.120799999896008e-06,True
3000,normalized,Q08,32,8,8.710400000033758e-06,True
3000,flat,Q09,4767,2296,0.0011401062500000947,True
3000,mid,Q09,4767,2296,0.001104431250000104,True
3000,normalized,Q09,9709,2471,0.0030670916499998314,True
3000,flat,Q10,31,38,1.3425000000033549e-05,True
3000,mid,Q10,50,48,1.838749999993894e-05,True
3000,normalized,Q10,111,58,3.4497900000118876e-05,True
3000,flat,Q11,9,9,3.3832999999816595e-06,True
3000,mid,Q11,38,28,1.1318750000022249e-05,True
3000,normalized,Q11,87,53,2.6083350000050132e-05,True
3000,flat,Q12,218,147,8.043959999994854e-05,True
3000,mid,Q12,797,530,0.00025719165000008813,True
3000,normalized,Q12,1482,540,0.0004945458499999944,True
3000,flat,Q13,16990,0,0.0016723374999999762,True
3000,mid,Q13,16990,0,0.0016726687500000282,True
3000,normalized,Q13,50971,16990,0.008936712499999899,True
3000,flat,Q14,587679,146394,0.16422058749999985,True
3000,mid,Q14,587679,146394,0.16550767085000012,True
3000,normalized,Q14,1193773,164810,0.4886163021000002,True
3000,flat,Q15,3,2,1.6875000000027284e-06,True
3000,mid,Q15,3,2,1.8833500000425828e-06,True
3000,normalized,Q15,6,2,2.4958499999172546e-06,True
3000,flat,Q16,55,20,1.4289599999983692e-05,True
3000,mid,Q16,96,20,2.3337499999342982e-05,True
3000,normalized,Q16,192,41,5.4324999999977305e-05,True
3000,flat,Q17,5495,4686,0.0017363104499999338,True
3000,mid,Q17,4389,2528,0.0013522937499999444,True
3000,normalized,Q17,8779,2528,0.003504362500000013,True
