scale,schema,query,hops,prop_reads,seconds,correct
1000,flat,Q01,8,26,8.393749999990873e-06,True
1000,flat_indexed,Q01,8,26,8.283300000000438e-06,True
1000,mid,Q01,17,26,1.1783350000005299e-05,True
1000,flat,Q02,149,127,5.7885400000001755e-05,True
1000,flat_indexed,Q02,149,127,6.079374999999887e-05,True
1000,mid,Q02,405,127,0.00014619584999999712,True
1000,flat,Q03,131,52,3.215210000000468e-05,True
1000,flat_indexed,Q03,131,52,3.1454200000002874e-05,True
1000,mid,Q03,131,52,3.21624999999992e-05,True
1000,flat,Q04,131,66,4.4168749999995426e-05,True
1000,flat_indexed,Q04,131,66,4.388539999999885e-05,True
1000,mid,Q04,160,81,5.454374999999123e-05,True
1000,flat,Q05,1000,0,0.000209983299999994,True
1000,flat_indexed,Q05,1000,0,0.00020586249999999807,True
1000,mid,Q05,1000,0,0.00022875205000000287,True
1000,flat,Q06,1862,1463,0.0006972646000000027,True
1000,flat_indexed,Q06,1862,1463,0.0006958958000000016,True
1000,mid,Q06,3329,2198,0.001275497949999993,True
1000,flat,Q07,26,3,6.368749999996481e-06,True
1000,flat_indexed,Q07,26,3,6.38335000000545e-06,True
1000,mid,Q07,26,3,6.4458500000030835e-06,True
1000,flat,Q08,16,7,5.881249999983851e-06,True
1000,flat_indexed,Q08,16,7,5.802100000007471e-06,True
1000,mid,Q08,16,7,5.964599999996878e-06,True
1000,flat,Q09,3574,1712,0.0012425958499999944,True
1000,flat_indexed,Q09,3574,1712,0.001206339600000006,True
1000,mid,Q09,3574,1712,0.001263668749999991,True
1000,flat,Q10,29,32,1.6897899999990252e-05,True
1000,flat_indexed,Q10,29,32,1.6827100000016416e-05,True
1000,mid,Q10,44,39,2.2804199999981732e-05,True
1000,flat,Q11,8,8,4.747900000001692e-06,True
1000,flat_indexed,Q11,8,8,4.672900000013413e-06,True
1000,mid,Q11,35,26,1.5100000000001224e-05,True
1000,flat,Q12,201,140,0.00010341249999998859,True
1000,flat_indexed,Q12,201,140,0.00010280414999999098,True
1000,mid,Q12,754,506,0.0003790562500000094,True
1000,flat,Q13,4754,0,0.0006165646000000135,True
1000,flat_indexed,Q13,4754,0,0.0006175124999999948,True
1000,mid,Q13,4754,0,0.0006354603999999986,True
1000,flat,Q14,143969,36175,0.051331095849999994,True
1000,flat_indexed,Q14,143969,36175,0.05051757289999994,True
1000,mid,Q14,143969,36175,0.05036197915000003,True
1000,flat,Q15,3,1,2.2937500000708156e-06,True
1000,flat_indexed,Q15,3,1,2.3187500000076966e-06,True
1000,mid,Q15,3,1,2.3437499999445776e-06,True
1000,flat,Q16,59,22,2.1083350000061785e-05,True
1000,flat_indexed,Q16,59,22,2.0997949999923548e-05,True
1000,mid,Q16,104,22,3.640829999991268e-05,True
1000,flat,Q17,2181,1786,0.0008987541500001583,True
1000,flat_indexed,Q17,1283,786,0.0004958249999999608,True
1000,mid,Q17,2073,1183,0.000751877049999905,True
1000,flat,Q18,11650,11809,0.00248117919999995,True
1000,flat_indexed,Q18,159,159,6.040415000008181e-05,True
1000,mid,Q18,159,159,6.417289999998133e-05,True
1000,flat,Q19,1000,1048,0.00021314374999992225,True
1000,flat_indexed,Q19,48,48,3.176039999992497e-05,True
1000,mid,Q19,193,144,9.165835000004562e-05,True
1000,flat,Q20,2114,0,0.002653752099999984,True
1000,flat_indexed,Q20,2114,0,0.00264788334999988,True
1000,mid,Q20,2114,0,0.002679135400000021,True
3000,flat,Q01,9,29,9.38545000011004e-06,True
3000,flat_indexed,Q01,9,29,9.38545000011004e-06,True
3000,mid,Q01,19,29,1.2658300000012445e-05,True
3000,flat,Q02,175,157,7.255414999995935e-05,True
3000,flat_indexed,Q02,175,157,6.997710000007373e-05,True
3000,mid,Q02,490,157,0.00016603750000001582,True
3000,flat,Q03,144,60,3.594790000001069e-05,True
3000,flat_indexed,Q03,144,60,3.588954999997895e-05,True
3000,mid,Q03,144,60,3.648329999990096e-05,True
3000,flat,Q04,144,78,5.327079999997153e-05,True
3000,flat_indexed,Q04,144,78,5.285829999994718e-05,True
3000,mid,Q04,180,96,6.66395500001471e-05,True
3000,flat,Q05,1183,0,0.00024039170000005327,True
3000,flat_indexed,Q05,1183,0,0.00023900205000000342,True
3000,mid,Q05,1183,0,0.00024314169999986034,True
3000,flat,Q06,2471,2088,0.000891643749999993,True
3000,flat_indexed,Q06,2471,2088,0.0008897729000000964,True
3000,mid,Q06,4559,3132,0.0016436667000000681,True
3000,flat,Q07,28,3,6.910399999959793e-06,True
3000,flat_indexed,Q07,28,3,6.804150000050413e-06,True
3000,mid,Q07,28,3,6.789599999912354e-06,True
3000,flat,Q08,16,8,6.124999999990166e-06,True
3000,flat_indexed,Q08,16,8,6.022900000068887e-06,True
3000,mid,Q08,16,8,6.124999999990166e-06,True
3000,flat,Q09,4767,2296,0.0015160396000000631,True
3000,flat_indexed,Q09,4767,2296,0.0014874916500000168,True
3000,mid,Q09,4767,2296,0.0015085437500001575,True
3000,flat,Q10,31,38,1.992289999996899e-05,True
3000,flat_indexed,Q10,31,38,1.994374999991777e-05,True
3000,mid,Q10,50,48,2.6212499999900274e-05,True
3000,flat,Q11,9,9,5.218749999968964e-06,True
3000,flat_indexed,Q11,9,9,5.2103999999886245e-06,True
3000,mid,Q11,38,28,1.654374999997543e-05,True
3000,flat,Q12,218,147,0.00011357084999996658,True
3000,flat_indexed,Q12,218,147,0.00011197710000008244,True
3000,mid,Q12,797,530,0.00036647705000003583,True
3000,flat,Q13,16990,0,0.0023574083499999787,True
3000,flat_indexed,Q13,16990,0,0.0024434229500000628,True
3000,mid,Q13,16990,0,0.0023868250000001366,True
3000,flat,Q14,587679,146394,0.22998354164999987,True
3000,flat_indexed,Q14,587679,146394,0.2048785146,True
3000,mid,Q14,587679,146394,0.25160140829999944,True
3000,flat,Q15,3,2,2.62084999960166e-06,True
3000,flat_indexed,Q15,3,2,2.610399999980473e-06,True
3000,mid,Q15,3,2,2.6228999999489132e-06,True
3000,flat,Q16,55,20,2.0716699999923094e-05,True
3000,flat_indexed,Q16,55,20,2.0656249999717603e-05,True
3000,mid,Q16,96,20,3.4018750000086584e-05,True
3000,flat,Q17,5495,4686,0.002476272900000254,True
3000,flat_indexed,Q17,2705,1686,0.0011831916500000261,True
3000,mid,Q17,4389,2528,0.001827691649999963,True
3000,flat,Q18,35390,35546,0.008401822899999445,True
3000,flat_indexed,Q18,156,156,6.0943750000319596e-05,True
3000,mid,Q18,156,156,6.893960000056154e-05,True
3000,flat,Q19,3000,3105,0.0006486666499995408,True
3000,flat_indexed,Q19,105,105,7.649375000013947e-05,True
3000,mid,Q19,418,312,0.00020541045000044278,True
3000,flat,Q20,3040,0,0.003133770850000417,True
3000,flat_indexed,Q20,3040,0,0.003074749999999682,True
3000,mid,Q20,3040,0,0.0029911666499998547,True
10000,flat,Q01,9,28,9.10834999956478e-06,True
10000,flat_indexed,Q01,9,28,9.158350000149085e-06,True
10000,mid,Q01,19,28,1.2537500000320278e-05,True
10000,flat,Q02,175,164,7.529579999996372e-05,True
10000,flat_indexed,Q02,175,164,7.495830000010528e-05,True
10000,mid,Q02,503,164,0.00017427914999998962,True
10000,flat,Q03,143,61,3.7358300000533974e-05,True
10000,flat_indexed,Q03,143,61,3.726250000042341e-05,True
10000,mid,Q03,143,61,3.7658299999776544e-05,True
10000,flat,Q04,143,78,5.504789999974946e-05,True
10000,flat_indexed,Q04,143,78,5.480205000054639e-05,True
10000,mid,Q04,179,97,6.757080000028282e-05,True
10000,flat,Q05,1152,0,0.00024899585000000003,True
10000,flat_indexed,Q05,1152,0,0.0002449208500003408,True
10000,mid,Q05,1152,0,0.0002607146000002558,True
10000,flat,Q06,2645,2363,0.0011073250000002588,True
10000,flat_indexed,Q06,2645,2363,0.0010289604000000452,True
10000,mid,Q06,5017,3553,0.0018985562499999275,True
10000,flat,Q07,27,3,6.8603999999083955e-06,True
10000,flat_indexed,Q07,27,3,6.804150000050413e-06,True
10000,mid,Q07,27,3,6.797950000247965e-06,True
10000,flat,Q08,17,8,6.433349999923621e-06,True
10000,flat_indexed,Q08,17,8,6.358350000112978e-06,True
10000,mid,Q08,17,8,6.395799999836527e-06,True
10000,flat,Q09,5116,2470,0.0018616624999999941,True
10000,flat_indexed,Q09,5116,2470,0.001843006250000201,True
10000,mid,Q09,5116,2470,0.001870749999999788,True
10000,flat,Q10,31,35,1.892499999982533e-05,True
10000,flat_indexed,Q10,31,35,1.8949999999762214e-05,True
10000,mid,Q10,48,44,2.5018750000072033e-05,True
10000,flat,Q11,9,9,5.214600000158498e-06,True
10000,flat_indexed,Q11,9,9,5.32704999969269e-06,True
10000,mid,Q11,38,29,1.6537500000168846e-05,True
10000,flat,Q12,216,145,0.00011600415000003749,True
10000,flat_indexed,Q12,216,145,0.00011750000000034788,True
10000,mid,Q12,782,518,0.0003753937500000859,True
10000,flat,Q13,49777,0,0.010780627049999936,True
10000,flat_indexed,Q13,49777,0,0.010590616650000583,True
10000,mid,Q13,49777,0,0.010625052099999265,True
10000,flat,Q14,1883811,461428,0.9083415333500013,True
10000,flat_indexed,Q14,1883811,461428,0.89537973125,True
10000,mid,Q14,1883811,461428,1.0604983812499995,True
10000,flat,Q15,3,1,2.13124999959291e-06,True
10000,flat_indexed,Q15,3,1,2.072949999387674e-06,True
10000,mid,Q15,3,1,2.1979499990720795e-06,True
10000,flat,Q16,73,24,2.855835000161733e-05,True
10000,flat_indexed,Q16,73,24,2.789790000008452e-05,True
10000,mid,Q16,123,24,4.427920000011909e-05,True
10000,flat,Q17,12290,11546,0.006137533349999558,True
10000,flat_indexed,Q17,2483,1546,0.0016438291500008972,True
10000,mid,Q17,4031,2321,0.002354783300000918,True
10000,flat,Q18,117558,117711,0.02858730625000021,True
10000,flat_indexed,Q18,153,153,6.346874999962893e-05,True
10000,mid,Q18,153,153,6.481670000084705e-05,True
10000,flat,Q19,10000,10098,0.0019326812499997458,True
10000,flat_indexed,Q19,98,98,7.164584999941326e-05,True
10000,mid,Q19,392,293,0.00019904374999839546,True
10000,flat,Q20,3457,0,0.0030406916499998715,True
10000,flat_indexed,Q20,3457,0,0.0029623250000014425,True
10000,mid,Q20,3457,0,0.0030030541499996843,True
