scale,schema,query,seconds,correct,runs
1000,flat,Q02,0.0006857,True,8.438e-04;7.070e-04;6.857e-04;7.105e-04;7.068e-04
1000,mid,Q02,0.0009014,True,9.746e-04;1.009e-03;9.558e-04;1.051e-03;9.014e-04
1000,normalized,Q02,0.00256675,True,2.628e-03;2.570e-03;2.606e-03;2.613e-03;2.567e-03
1000,flat,Q11,0.00037785,True,4.280e-04;3.924e-04;4.050e-04;3.778e-04;3.885e-04
1000,mid,Q11,0.0004999000000000001,True,5.174e-04;5.523e-04;4.999e-04;5.336e-04;5.178e-04
1000,normalized,Q11,0.0012185000000000002,True,1.219e-03;1.220e-03;1.245e-03;1.247e-03;1.225e-03
1000,flat,Q13,0.00048185,True,5.867e-04;5.178e-04;5.192e-04;5.016e-04;4.818e-04
1000,mid,Q13,0.00044965,True,4.744e-04;4.776e-04;4.662e-04;4.497e-04;4.597e-04
1000,normalized,Q13,0.00092515,True,1.155e-03;9.374e-04;9.644e-04;9.338e-04;9.252e-04
1000,flat,Q17,0.0013335,True,1.406e-03;1.390e-03;1.359e-03;1.334e-03;1.354e-03
1000,mid,Q17,0.0013707,True,1.405e-03;1.398e-03;1.395e-03;1.371e-03;1.395e-03
1000,normalized,Q17,0.0030628500000000006,True,3.124e-03;3.063e-03;3.121e-03;3.094e-03;3.085e-03
1000,flat,Q18,0.00083015,True,9.811e-04;8.347e-04;8.331e-04;8.301e-04;8.652e-04
1000,mid,Q18,0.00059995,True,6.000e-04;6.579e-04;6.469e-04;6.465e-04;7.065e-04
1000,normalized,Q18,0.00069765,True,7.775e-04;6.976e-04;7.658e-04;7.745e-04;7.945e-04
1000,flat,Q19,0.00020010000000000004,True,2.277e-04;2.114e-04;2.001e-04;2.075e-04;2.087e-04
1000,mid,Q19,0.0009055,True,9.110e-04;9.836e-04;9.608e-04;9.055e-04;9.717e-04
1000,normalized,Q19,0.0012653000000000002,True,1.265e-03;1.279e-03;1.302e-03;1.284e-03;1.401e-03
