scale,schema,query,hops,prop_reads,seconds,correct
1000,flat,Q01,6,18,6.16874999999073e-06,True
1000,flat_indexed,Q01,6,18,6.072900000009262e-06,True
1000,mid,Q01,12,18,8.591650000000506e-06,True
1000,normalized,Q01,31,25,1.5179149999999809e-05,True
1000,flat,Q02,132,116,5.409375000000605e-05,True
1000,flat_indexed,Q02,132,116,5.3629150000000794e-05,True
1000,mid,Q02,365,116,0.00012417289999999692,True
1000,normalized,Q02,863,249,0.00029974790000000253,True
1000,flat,Q03,101,46,2.6145850000003357e-05,True
1000,flat_indexed,Q03,101,46,2.6016699999997782e-05,True
1000,mid,Q03,101,46,2.6206250000004872e-05,True
1000,normalized,Q03,209,52,6.491250000000282e-05,True
1000,flat,Q04,101,59,3.7560400000002935e-05,True
1000,flat_indexed,Q04,101,59,3.71458499999866e-05,True
1000,mid,Q04,129,74,4.644165000000644e-05,True
1000,normalized,Q04,265,80,9.859164999999059e-05,True
1000,flat,Q05,710,0,0.00014680000000000248,True
1000,flat_indexed,Q05,710,0,0.0001464812500000079,True
1000,mid,Q05,710,0,0.00014806670000000466,True
1000,normalized,Q05,1427,34,0.0004423207999999956,True
1000,flat,Q06,1741,1405,0.0006268562500000074,True
1000,flat_indexed,Q06,1741,1405,0.000625139550000009,True
1000,mid,Q06,3184,2146,0.0010665396000000271,True
1000,normalized,Q06,6501,2279,0.002575858350000004,True
1000,flat,Q07,22,2,5.443749999978209e-06,True
1000,flat_indexed,Q07,22,2,5.410449999976308e-06,True
1000,mid,Q07,22,2,5.366649999993811e-06,True
1000,normalized,Q07,49,13,1.5789549999967178e-05,True
1000,flat,Q08,14,5,4.7291500000046225e-06,True
1000,flat_indexed,Q08,14,5,4.768749999994881e-06,True
1000,mid,Q08,14,5,4.712500000003672e-06,True
1000,normalized,Q08,28,5,1.0404150000020706e-05,True
1000,flat,Q09,3349,1608,0.0009945541500000043,True
1000,flat_indexed,Q09,3349,1608,0.0009876978999999952,True
1000,mid,Q09,3349,1608,0.0009912229000000217,True
1000,normalized,Q09,6831,1741,0.002505056250000015,True
1000,flat,Q10,24,25,1.3439599999998109e-05,True
1000,flat_indexed,Q10,24,25,1.3464599999979398e-05,True
1000,mid,Q10,36,31,1.7864600000017105e-05,True
1000,normalized,Q10,79,37,3.4064600000016655e-05,True
1000,flat,Q11,6,6,3.620800000003754e-06,True
