scale,schema,build_seconds,nodes,edges,mbytes
1000,flat,0.067,12985,55827,30.8
1000,flat_indexed,0.139,12985,55827,31.0
1000,mid,0.384,13171,74147,35.0
1000,normalized,0.954,82343,148294,86.8
3000,flat,0.694,38808,166953,90.9
3000,flat_indexed,0.646,38808,166953,91.4
3000,mid,1.284,39212,221756,106.0
3000,normalized,2.411,245993,443512,254.3
10000,flat,2.204,129323,554963,307.4
10000,flat_indexed,4.547,129323,554963,309.1
10000,mid,3.25,130589,737811,349.1
10000,normalized,10.212,818425,1475622,874.0
