scale,schema,update,records,seconds
1000,flat,rename_city,51,6.960834999999999e-05
1000,flat,move_person,2,1.5917000000004177e-06
1000,flat,change_employer,1,2.3458000000003977e-06
1000,flat,rename_tag,155,0.0011751270500000009
1000,mid,rename_city,1,7.125000000024472e-07
1000,mid,move_person,4,4.8687500000005325e-06
1000,mid,change_employer,4,8.806249999998573e-06
1000,mid,rename_tag,1,7.31249999999517e-07
1000,normalized,rename_city,1,6.854000000000582e-07
1000,normalized,move_person,4,5.339599999998334e-06
1000,normalized,change_employer,10,1.2445849999997983e-05
1000,normalized,rename_tag,1,6.875000000017284e-07
1000,flat_indexed,rename_city,52,1.0904150000001778e-05
1000,flat_indexed,move_person,3,2.545799999997822e-06
1000,flat_indexed,change_employer,2,4.110399999990299e-06
1000,flat_indexed,rename_tag,156,6.623959999999541e-05
3000,flat,rename_city,108,0.000202270849999997
3000,flat,move_person,2,1.637500000006842e-06
3000,flat,change_employer,1,2.6791499999956336e-06
3000,flat,rename_tag,152,0.0038487624999999914
3000,mid,rename_city,1,6.729500000135503e-07
3000,mid,move_person,4,8.233349999997586e-06
3000,mid,change_employer,4,1.5116700000006311e-05
3000,mid,rename_tag,1,7.937499999943753e-07
3000,normalized,rename_city,1,7.06249999993247e-07
3000,normalized,move_person,4,9.824999999974438e-06
3000,normalized,change_employer,10,2.0987499999991498e-05
3000,normalized,rename_tag,1,7.895500000021372e-07
3000,flat_indexed,rename_city,109,2.305000000002444e-05
3000,flat_indexed,move_person,3,3.4708499999869248e-06
3000,flat_indexed,change_employer,2,5.716700000002461e-06
3000,flat_indexed,rename_tag,153,6.843125000002281e-05
10000,flat,rename_city,95,0.0006296457999999561
10000,flat,move_person,2,2.0187499999657633e-06
10000,flat,change_employer,1,5.281249999988802e-06
10000,flat,rename_tag,153,0.023563031250000054
10000,mid,rename_city,1,7.124999999774673e-07
10000,mid,move_person,4,8.799999999986597e-06
10000,mid,change_employer,4,2.3429149999998346e-05
10000,mid,rename_tag,1,7.270500000267077e-07
10000,normalized,rename_city,1,7.041499999971279e-07
10000,normalized,move_person,4,9.55625000003124e-06
10000,normalized,change_employer,10,3.19687500001109e-05
10000,normalized,rename_tag,1,7.250000001235435e-07
10000,flat_indexed,rename_city,96,2.126665000012906e-05
10000,flat_indexed,move_person,3,4.133300000042084e-06
10000,flat_indexed,change_employer,2,9.674999999909062e-06
10000,flat_indexed,rename_tag,154,6.793335000008228e-05
